,Category,Subcategory,Item,Link,Quoted title,Price
0,01.1 Food,01.1.1 Bread and Cereals,Large white loaves - sliced and unsliced,https://www.tesco.com/groceries/en-GB/products/305946059,Tesco White Crusty Cob Sliced,1.10
1,01.1 Food,01.1.1 Bread and Cereals,Bread rolls,https://www.tesco.com/groceries/en-GB/products/255810019,6 Pack Soft White Rolls,0.80
2,01.1 Food,01.1.1 Bread and Cereals,Flour,https://www.tesco.com/groceries/en-GB/products/255076035,Homepride Plain Flour 1Kg,1.65
3,01.1 Food,01.1.1 Bread and Cereals,Rice,https://www.tesco.com/groceries/en-GB/products/311270912,The Spice Tailor Hyderabad Biryani 360G,3.15
4,01.1 Food,01.1.1 Bread and Cereals,Pasta,https://www.tesco.com/groceries/en-GB/products/301323859,Heinz Spaghetti Hoops In Tomato Sauce 4 X 400G,3.50
5,01.1 Food,01.1.1 Bread and Cereals,Breakfast cereals,https://www.tesco.com/groceries/en-GB/products/312094007,Nestle Cheerios Multigrain Cereal 800G,4.20
6,01.1 Food,01.1.1 Bread and Cereals,Gluten free breakfast cereals,https://www.tesco.com/groceries/en-GB/products/284256556,Eat Natural Protein Bar 3 X 45G,2.20
7,01.1 Food,01.1.1 Bread and Cereals,Sponge cakes,https://www.tesco.com/groceries/en-GB/products/255538238,Tesco Raspberry Sponge Cake Each,1.35
8,01.1 Food,01.1.1 Bread and Cereals,Pack of individual cakes,https://www.tesco.com/groceries/en-GB/products/312232507,The Cake Crew Rainbow Cupcakes 4 Pack,2.50
9,01.1 Food,01.1.1 Bread and Cereals,Various selected biscuits,https://www.tesco.com/groceries/en-GB/products/306817447,,
10,01.1 Food,01.1.1 Bread and Cereals,Popcorn,https://www.tesco.com/groceries/en-GB/products/303543090,Butterkist Microwave Salted Popcorn 3X60g,2.20
11,01.1 Food,01.1.1 Bread and Cereals,Large wholemeal loaf,https://www.tesco.com/groceries/en-GB/products/309779256,Tesco Hi Fibre Wholemeal Loaf 400G,1.00
12,01.1 Food,01.1.1 Bread and Cereals,Garlic bread,https://www.tesco.com/groceries/en-GB/products/253803694,Tesco 10 Garlic Bread Slices 260G,1.50
13,01.1 Food,01.1.1 Bread and Cereals,Chilled pizza,https://www.tesco.com/groceries/en-GB/products/261385173,Pizza Express American Pizza 250G,5.50
14,01.1 Food,01.1.1 Bread and Cereals,Quiche,https://www.tesco.com/groceries/en-GB/products/296492165,,
15,01.1 Food,01.1.1 Bread and Cereals,Dehydrated noodles/pasta,https://www.tesco.com/groceries/en-GB/products/256876734,Tesco Free From Penne Pasta 500G,1.20
16,01.1 Food,01.1.1 Bread and Cereals,Hot oat cereal,https://www.tesco.com/groceries/en-GB/products/261986222,Weetabix Oatibix Flakes Cereal 550G,3.80
17,01.1 Food,01.1.1 Bread and Cereals,Cereal bars,https://www.tesco.com/groceries/en-GB/products/250202649,Kellogg's Rice Krispie Squares Marshmallow 4 X 28G,2.00
